date,INDPRO,RECESSION
01/01/1984,53.0088,0
02/01/1984,53.2486,0
03/01/1984,53.5028,0
04/01/1984,53.8233,0
05/01/1984,54.1104,0
06/01/1984,54.3075,0
07/01/1984,54.4587,0
08/01/1984,54.5239,0
09/01/1984,54.3696,0
10/01/1984,54.3474,0
11/01/1984,54.529,0
12/01/1984,54.5556,0
01/01/1985,54.527,0
02/01/1985,54.6871,0
03/01/1985,54.7673,0
04/01/1985,54.6467,0
05/01/1985,54.7396,0
06/01/1985,54.711,0
07/01/1985,54.4365,0
08/01/1985,54.6121,0
09/01/1985,54.8147,0
10/01/1985,54.6228,0
11/01/1985,54.8123,0
12/01/1985,55.3553,0
01/01/1986,55.6453,0
02/01/1986,55.2634,0
03/01/1986,54.8728,0
04/01/1986,54.935,0
05/01/1986,55.0399,0
06/01/1986,54.826,0
07/01/1986,55.167,0
08/01/1986,55.0726,0
09/01/1986,55.2237,0
10/01/1986,55.4589,0
11/01/1986,55.6763,0
12/01/1986,56.2078,0
01/01/1987,55.9911,0
02/01/1987,56.7373,0
03/01/1987,56.8136,0
04/01/1987,57.185,0
05/01/1987,57.5424,0
06/01/1987,57.8502,0
07/01/1987,58.2421,0
08/01/1987,58.6784,0
09/01/1987,58.9088,0
10/01/1987,59.7008,0
11/01/1987,59.9956,0
12/01/1987,60.3246,0
01/01/1988,60.309,0
02/01/1988,60.6122,0
03/01/1988,60.7452,0
04/01/1988,61.108,0
05/01/1988,60.9843,0
06/01/1988,61.1615,0
07/01/1988,61.171,0
08/01/1988,61.4771,0
09/01/1988,61.2785,0
10/01/1988,61.5488,0
11/01/1988,61.7049,0
12/01/1988,61.9851,0
01/01/1989,62.1677,0
02/01/1989,61.8916,0
03/01/1989,62.0508,0
04/01/1989,62.0289,0
05/01/1989,61.6871,0
06/01/1989,61.6857,0
07/01/1989,61.0896,0
08/01/1989,61.6847,0
09/01/1989,61.4794,0
10/01/1989,61.4014,0
11/01/1989,61.6081,0
12/01/1989,61.9588,0
01/01/1990,61.6352,0
02/01/1990,62.1951,0
03/01/1990,62.4916,0
04/01/1990,62.3511,0
05/01/1990,62.5353,0
06/01/1990,62.7479,0
07/01/1990,62.6435,0
08/01/1990,62.8704,1
09/01/1990,62.8839,1
